Id,Total,English,Spanish or Spanish Creole,Spanish or Spanish Creole LEP,"French (incl. Patois, Cajun)","French (incl. Patois, Cajun) LEP",French Creole,French Creole LEP,Italian,Italian LEP,Portuguese or Portuguese Creole,Portuguese or Portuguese Creole LEP,German,German LEP,Yiddish,Yiddish LEP,Other West Germanic languages,Other West Germanic languages LEP,Scandinavian languages,Scandinavian languages LEP,Greek,Greek LEP,Russian,Russian LEP,Polish,Polish LEP,Serbo-Croatian,Serbo-Croatian LEP,Other Slavic languages,Other Slavic languages LEP,Armenian,Armenian LEP,Persian,Persian LEP,Gujarati,Gujarati LEP,Hindi,Hindi LEP,Urdu,Urdu LEP,Other Indic languages,Other Indic languages LEP,Other Indo-European languages,Other Indo-European languages LEP,Chinese,Chinese LEP,Japanese,Japanese LEP,Korean,Korean LEP,"Mon-Khmer, Cambodian","Mon-Khmer, Cambodian LEP",Hmong,Hmong LEP,Thai,Thai LEP,Laotian,Laotian LEP,Vietnamese,Vietnamese LEP,Other Asian languages,Other Asian languages LEP,Tagalog,Tagalog LEP,Other Pacific Island languages,Other Pacific Island languages LEP,Navajo,Navajo LEP,Other Native North American languages,Other Native North American languages LEP,Hungarian,Hungarian LEP,Arabic,Arabic LEP,Hebrew,Hebrew LEP,African languages,African languages LEP,Other and unspecified languages,Other and unspecified languages LEP,county
1400000US36047010800,3912,501,466,173,0,0,0,0,18,10,9,0,0,0,0,0,0,0,0,0,0,0,9,9,70,70,0,0,0,0,0,0,0,0,16,8,78,67,0,0,11,11,0,0,2526,2078,0,0,0,0,0,0,0,0,0,0,0,0,41,9,20,0,147,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Kings County
1400000US36047011000,2453,467,769,628,0,0,0,0,9,5,0,0,0,0,298,121,0,0,0,0,0,0,12,12,0,0,0,0,68,68,0,0,0,0,0,0,5,0,0,0,12,12,0,0,708,608,0,0,26,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,69,0,0,0,0,0, Kings County
1400000US36047011200,6016,995,2153,1221,29,12,0,0,14,0,0,0,6,0,1011,507,0,0,0,0,0,0,314,271,125,74,0,0,34,34,0,0,57,18,0,0,27,20,9,0,280,201,7,7,738,552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,7,0,0,0,0,0,0,0,0,67,44,15,15,111,12,1,0,0,0, Kings County
1400000US36047011400,3945,919,474,263,9,9,11,0,0,0,0,0,22,0,1059,274,10,0,0,0,47,20,284,255,19,12,41,22,12,12,0,0,2,0,46,0,45,0,53,53,0,0,11,11,486,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,74,19,12,6,0,0,0,0,134,84,22,22,134,69,10,0,0,0, Kings County
1400000US36047011600,3895,405,351,230,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2847,2295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,74,2,1,45,24,0,0,0,0,7,7,57,1,16,8,0,0,0,0, Kings County
1400000US36047011700,2572,1551,674,275,18,0,17,0,12,0,0,0,0,0,14,14,0,0,0,0,0,0,29,17,17,0,0,0,11,0,0,0,9,0,0,0,8,0,0,0,0,0,0,0,25,0,0,0,12,12,0,0,0,0,0,0,17,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,123,48,0,0,0,0,0,0, Kings County
1400000US36047011800,1933,453,351,186,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1101,921,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Kings County
1400000US36047011900,1487,1002,314,228,0,0,5,5,5,0,30,0,49,0,3,0,0,0,0,0,6,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,19,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,5,0,0,0,0,0,0, Kings County
1400000US36047012000,1181,81,64,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,920,729,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,26,8,0,0,0,0,0,0, Kings County
1400000US36047012100,1726,1159,394,132,0,0,0,0,11,11,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,50,13,16,0,19,13,0,0,0,0,0,0,0,0,6,0,0,0,19,13,0,0,0,0,0,0,1,0,21,0,10,0,0,0,0,0, Kings County
