advisor,author,project_format,title,year,title_word_count,title_clean
"Stabiner, Karen","Porat, Daniela",Print,"Making The Invisible Visible: Biomarkers, Mild Traumatic Brain Injury, And The Veterans' Health Care",2015,14,making invisible visible biomarkers mild traumatic brain injury veterans health care
"Hickey, Neil","Qian, Siyu",Print,The Rockaway Ferry: Between New York City And The Atlantic Ocean--The Rise And Fall Of The Waterway Of An Urban Waterfront,2015,21,rockaway ferry atlantic oceanthe rise fall waterway urban waterfront
"Coyne, Kevin","Raudenbush, Rachel",Print,Between Setting Off And Settling Down: Young American'S Search For Home,2015,11,setting settling young americans search home
"Levinson, Jacob","Reigstad, Leif",Print,Prostitution And Criminal Courts In New York,2015,7,prostitution criminal courts
"Wald, Richard","Rivett-Carnac, Mark",Print,The High Cost Of Poor Elevator Service In Public Housing,2015,10,high cost poor elevator service public housing
"Schatz, Robin","Robins, Brittany",Print,The Silent Pandemic: Post-Traumatic Stress Disorder In Urban Battlefields,2015,9,silent pandemic posttraumatic stress disorder urban battlefields
"Schoonmaker, Mary Ellen","Roussinova, Antoaneta",Print,"The Good, The Bad And The Rocky",2015,7,good bad rocky
"Barclay, Dolores","Roy Choudhury, Saheli",Print,He For She: Men Step Up The Fight Against Sexual Violence,2015,11,men step fight sexual violence
"Levinson, Jacob","Rudra, Geetika",Print,One Morning In Bed-Stuy,2015,4,one morning bedstuy
"Goldman, Ari","Saini, Shivam",Print,The Little-Known Worlds Of Gay Widowers,2015,6,littleknown worlds gay widowers
"Maharidge, Dale","Sastry, Anjuli",Print,Teen Titans Of Tech: The Rise Of Young Entrepreneurs Who Skip College,2015,12,teen titans tech rise young entrepreneurs skip college
"Maharidge, Dale","Sastry, Anjuli",Print,Teen Titans Of Tech: The Rise Of Young Entrepreneurs Who Skip College,2015,12,teen titans tech rise young entrepreneurs skip college
"Span, Paula","Schachar, Natalie Ann",Print,Nixon Domingguez'S Day In Court,2015,5,nixon domingguezs day court
"Lombardi, Kristen","Shalev, Asaf",Print,America'S Just Barley Regulated Natural Gas Pipeline Boom,2015,8,americas barley regulated natural gas pipeline boom
"Edsall, Thomas B.","Shank, Michael Chadwick",Print,Exploring The   Gun Control Paradox  : The 2014 Connecticut Gubernatorial And State Election As A Case Study,2015,20,exploring gun control paradox 2014 connecticut gubernatorial state election case study
"Heinzerling, Larry","Shelbourne, Mallory",Print,Reflections On Tahrir Square: Activists Look Back Hour Years Later,2015,10,reflections tahrir square activists look back hour years later
"Morrison, Blake","Shen, Yiqin",Print,Inside The Gray Market Between The U.S. And China,2015,9,inside gray market us china
"Baum, Geraldine","Silber, Emily F.",Print,Respect The Fruit Flies: Genetically-Engineered Fruit Flies May Be The Best Bet For Finding A Cure For Cancer,2015,18,respect fruit flies geneticallyengineered fruit flies may best bet finding cure cancer
"Dinges, John","Sitz, Miriam",Print And Dvd,Orphan Drug Development: The Battle To Treat Rare Diseases,2015,9,orphan drug development battle treat rare diseases
"Dinges, John","Skibell, Arianna",Print And Dvd,"Prison, Theater, Empathy And The Neuroplasticity Of The Brain",2015,9,prison theater empathy neuroplasticity brain
"Klatell, David","Smith, Robert",Print And Dvd,"For Those At Highest Risk, A Complicated Path To The Pill That Could End Hiv",2015,15,highest risk complicated path pill could end hiv
"Siegel, Lloyd","Socha, Joanna",Print And Dvd,Transform Or Move To Poland. Polish Businesses In Greenpoint Confront Gentrification,2015,11,transform move poland polish businesses greenpoint confront gentrification
"Siegel, Lloyd","Socha, Joanna",Print And Dvd,Transform Or Move To Poland. Polish Businesses In Greenpoint Confront Gentrification,2015,11,transform move poland polish businesses greenpoint confront gentrification
"Coyne, Kevin","Somshekar, Seema",Print,Security In New York Public Housing: A Cry For Help,2015,10,security public housing cry help
"Gissler, Sig","Spear, Lisa",Print,Behind The Line: Life With Embattled New York Carriage Drivers,2015,10,behind line life embattled carriage drivers
"Kantrowitz, Barbara","Stoffers, Carl",Print,Endangered: Professional Ice Hockey Enforcers,2015,5,endangered professional ice hockey enforcers
"Zuckerman, Laurence","Swanson, Jessica",Print,Year Of The Foreskin: Circumcised Men Turn To The Internet To 'Restore' Their Foreskins,2015,14,year foreskin circumcised men turn internet restore foreskins
"Heinzerling, Larry","Sykes, Joe",Print,A New Normal: The Life Of Kimball Hartman And The Epidemic Of Violence Against Transgender Women Of Color,2015,18,normal life kimball hartman epidemic violence transgender women color
"Heinzerling, Larry","Sykes, Joe",Print,A New Normal: The Life Of Kimball Hartman And The Epidemic Of Violence Against Transgender Women Of Color,2015,18,normal life kimball hartman epidemic violence transgender women color
"Gardiner, Susannah","Tasch, Barbara",Print,Fighting For More Hours,2015,4,fighting hours
"Hickey, Neil","Minn, Emilyn",Print,Ground Zero: Conde Nast Navigates The Unknown Digital Landscape,2015,9,ground zero conde nast navigates unknown digital landscape
"Coll, Steve","Townsend, Kevin",Print,The Citizens United Of Judicial Policies,2015,6,citizens united judicial policies
"Edsall, Thomas B.","Trachtman Alroy, Tal",Print,Healthcare System Ill-Prepared To Deal With Largest Hiv Aging Population Ever,2015,11,healthcare system illprepared deal largest hiv aging population ever
"Kann, Peter","Ubaid, Mir",Print,Shadows Of Themselves: 10 Million Stateless People And Their Struggle For Recognition,2015,12,shadows 10 million stateless people struggle recognition
"Weiner, Jonathan","Uda, Rachel",Print,Books In The Hood,2015,4,books hood
"Weiner, Jonathan","Uda, Rachel",Print,Books In The Hood,2015,4,books hood
"Kent, Thomas J.","Uwemedimo, Victoria",Print,Back To The Source: American Blacks' And African Immigrants' Uneasy Navigation Of Their Cultural Identity,2015,15,back source american blacks african immigrants uneasy navigation cultural identity
"Cooper, Ann","Uwimana, Solange",Print,Chasing Basketball,2015,2,chasing basketball
"Stray, Jonathan","Vegeto, Daniel",Print,Measuring The Influence Of Money In Politics: By Predicting Congressional Votes From Campaign Financing With Logistic Regression,2015,17,measuring influence money politics predicting congressional votes campaign financing logistic regression
"Heinzerling, Larry","Vielot, Mikayla",Print,Harlem'S Growing Gentrification And The Fight To Save Black Culture,2015,10,harlems growing gentrification fight save black culture
"Cooper, Ann","Von Kaenel, Camille",Print And Dvd,Not Turning Back: A Family'S Piecemeal Journey From El Salvador To Long Island,2015,13,turning back familys piecemeal journey el salvador long island
"Schatz, Robin","Waltemeyer, Carrie",Print,Learning To Love Your Selfie,2015,5,learning love selfie
