issue,time,title,type,url,weekday
ECONOMY & JOBS,"Sep 25, 2017",Expanding Access to High Quality STEM and Computer Science Education Provides More Pathways to Good Jobs,FACT SHEETS,https://www.whitehouse.gov/briefings-statements/expanding-access-high-quality-stem-computer-science-education-provides-pathways-good-jobs/,Monday
HEALTHCARE,"Sep 25, 2017",Readout of Second Lady Karen Pence’s visit to the National Museum of Health and Medicine,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-second-lady-karen-pences-visit-national-museum-health-medicine/,Monday
not found,"Sep 24, 2017","Press Gaggle by President Trump, Morristown Municipal Airport",PRESS BRIEFINGS,https://www.whitehouse.gov/briefings-statements/press-gaggle-president-trump-morristown-municipal-airport/,Sunday
NATIONAL SECURITY & DEFENSE,"Sep 24, 2017",President Donald J. Trump Strengthens Security Standards For Traveling to America,FACT SHEETS,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-strengthens-security-standards-traveling-america/,Sunday
NATIONAL SECURITY & DEFENSE,"Sep 24, 2017",President Donald J. Trump Announces Enhanced National Security Measures,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-announces-enhanced-national-security-measures/,Sunday
NATIONAL SECURITY & DEFENSE,"Sep 24, 2017",FAQ: Proclamation on Enhancing Vetting Capabilities and Processes for Detecting Attempted Entry Into the United States by Terrorists or Other Public-Safety Threats,FACT SHEETS,https://www.whitehouse.gov/briefings-statements/faq-proclamation-enhancing-vetting-capabilities-processes-detecting-attempted-entry-united-states-terrorists-public-safety-threats/,Sunday
NATIONAL SECURITY & DEFENSE,"Sep 24, 2017",Proclamation on Enhancing Vetting Capabilities and Processes for Detecting Attempted Entry Into the United States by Terrorists or Other Public-Safety Threats,FACT SHEETS,https://www.whitehouse.gov/briefings-statements/fact-sheet-proclamation-enhancing-vetting-capabilities-processes-detecting-attempted-entry-united-states-terrorists-public-safety-threats/,Sunday
HEALTHCARE,"Sep 23, 2017",Editorial: “Obamacare’s Tax on the Poor”,NEWS CLIPS,https://www.whitehouse.gov/briefings-statements/editorial-obamacares-tax-poor/,Saturday
SOCIAL PROGRAMS,"Sep 23, 2017",The White House Initiative on Historically Black Colleges and Universities’ 2017 HBCU All-Stars,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/white-house-initiative-historically-black-colleges-universities-2017-hbcu-stars/,Saturday
BUDGET & SPENDING,"Sep 23, 2017",Remarks by the Vice President on Healthcare and Tax Reform,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-vice-president-healthcare-tax-reform/,Saturday
LAW & JUSTICE,"Sep 22, 2017",Statement from President Donald J. Trump on American Business Women’s Day,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-president-donald-j-trump-american-business-womens-day/,Friday
not found,"Sep 22, 2017",Statement from First Lady Melania Trump on First White House Kitchen Garden Event with Children from Boys and Girls Club of America,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-first-lady-melania-trump-first-white-house-kitchen-garden-event-children-boys-girls-club-america/,Friday
FOREIGN POLICY,"Sep 22, 2017",Readout of President Donald J. Trump’s Trilateral Meeting with Prime Minister Abe of Japan and President Moon of the Republic of Korea,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-president-donald-j-trumps-trilateral-meeting-prime-minister-abe-japan-president-moon-republic-korea/,Friday
LAND & AGRICULTURE,"Sep 22, 2017",Readout of President Donald J. Trump’s Phone Calls with the Governors of Puerto Rico and the U.S. Virgin Islands Regarding Hurricane Maria,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-president-donald-j-trumps-phone-calls-governors-puerto-rico-u-s-virgin-islands-regarding-hurricane-maria/,Friday
FOREIGN POLICY,"Sep 22, 2017",Readout of President Donald J. Trump’s Meeting with Prime Minister Shinzo Abe of Japan,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-president-donald-j-trumps-meeting-prime-minister-shinzo-abe-japan-2/,Friday
FOREIGN POLICY,"Sep 22, 2017",Readout of President Donald J. Trump’s Meeting with President Recep Tayyip Erdogan of Turkey,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-president-donald-j-trumps-meeting-president-recep-tayyip-erdogan-turkey/,Friday
FOREIGN POLICY,"Sep 22, 2017",Readout of President Donald J. Trump’s Meeting with President Petro Poroshenko of Ukraine,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-president-donald-j-trumps-meeting-president-petro-poroshenko-ukraine-2/,Friday
FOREIGN POLICY,"Sep 22, 2017",Readout of President Donald J. Trump’s Meeting with President Ashraf Ghani of Afghanistan,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-president-donald-j-trumps-meeting-president-ashraf-ghani-afghanistan/,Friday
FOREIGN POLICY,"Sep 22, 2017",Readout of President Donald J. Trump’s Meeting with President Abdel Fattah Al Sisi of Egypt,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-president-donald-j-trumps-meeting-president-abdel-fattah-al-sisi-egypt-2/,Friday
BUDGET & SPENDING,"Sep 22, 2017",President Donald J. Trump’s Weekly Address,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trumps-weekly-address-16/,Friday
FOREIGN POLICY,"Sep 22, 2017",Joint Readout of the Meeting between President Donald J. Trump of the United States and President Moon Jae-in of South Korea,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/joint-readout-meeting-president-donald-j-trump-united-states-president-moon-jae-south-korea/,Friday
HEALTHCARE,"Sep 22, 2017","Interview of Vice President Pence by David Stieren, KFQD-Anchorage",REMARKS,https://www.whitehouse.gov/briefings-statements/interview-vice-president-pence-david-stieren-kfqd-anchorage/,Friday
FOREIGN POLICY,"Sep 21, 2017",Editorial Boards and Commentators Praise President Donald J. Trump’s Address to the UN General Assembly,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/editorial-boards-commentators-praise-president-donald-j-trumps-address-un-general-assembly/,Thursday
FOREIGN POLICY,"Sep 21, 2017","Remarks by President Trump, President Moon of the Republic of Korea, and Prime Minister Abe of Japan Before Trilateral Meeting",REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-president-moon-republic-korea-prime-minister-abe-japan-trilateral-meeting/,Thursday
FOREIGN POLICY,"Sep 21, 2017",Remarks by President Trump and Prime Minister Abe of Japan Before Bilateral Meeting,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-prime-minister-abe-japan-bilateral-meeting-2/,Thursday
FOREIGN POLICY,"Sep 21, 2017",Remarks by President Trump and President Poroshenko of Ukraine Before Bilateral Meeting,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-president-poroshenko-ukraine-bilateral-meeting/,Thursday
FOREIGN POLICY,"Sep 21, 2017",Remarks by President Trump and President Moon of the Republic of Korea Before Bilateral Meeting,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-president-moon-republic-korea-bilateral-meeting/,Thursday
FOREIGN POLICY,"Sep 21, 2017",Remarks by President Trump and President Ghani of Afghanistan Before Bilateral Meeting,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-president-ghani-afghanistan-bilateral-meeting/,Thursday
FOREIGN POLICY,"Sep 21, 2017",Remarks by President Trump and President Al-Sisi of Egypt Before Bilateral Meeting,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-president-al-sisi-egypt-bilateral-meeting/,Thursday
FOREIGN POLICY,"Sep 21, 2017",Readout of President Donald J. Trump’s Meeting with Prime Minister Theresa May of the United Kingdom,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-president-donald-j-trumps-meeting-prime-minister-theresa-may-united-kingdom-2/,Thursday
FOREIGN POLICY,"Sep 21, 2017",Readout of President Donald J. Trump’s Meeting with African Leaders,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-president-donald-j-trumps-meeting-african-leaders/,Thursday
FOREIGN POLICY,"Sep 21, 2017",Press Briefing by U.S. Ambassador to the U.N. Nikki Haley,PRESS BRIEFINGS,https://www.whitehouse.gov/briefings-statements/press-briefing-u-s-ambassador-u-n-nikki-haley-092117/,Thursday
FOREIGN POLICY,"Sep 21, 2017",Press Briefing by Treasury Secretary Steven Mnuchin,PRESS BRIEFINGS,https://www.whitehouse.gov/briefings-statements/press-briefing-treasury-secretary-steven-mnuchin-092117/,Thursday
not found,"Sep 21, 2017",President Trump Announces Presidential Delegation to Canada to attend the Invictus Games Toronto 2017,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-trump-announces-presidential-delegation-canada-attend-invictus-games-toronto-2017/,Thursday
LAND & AGRICULTURE,"Sep 21, 2017",President Donald J. Trump Approves U.S. Virgin Islands Disaster Declaration,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-approves-u-s-virgin-islands-disaster-declaration-2/,Thursday
LAND & AGRICULTURE,"Sep 21, 2017",President Donald J. Trump Approves Puerto Rico Disaster Declaration,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-approves-puerto-rico-disaster-declaration-2/,Thursday
NATIONAL SECURITY & DEFENSE,"Sep 21, 2017",President Donald J. Trump Increases Pressure to Cut off Funding for North Korea,FACT SHEETS,https://www.whitehouse.gov/briefings-statements/fact-sheet-president-donald-j-trump-increases-pressure-cut-off-funding-north-korea/,Thursday
FOREIGN POLICY,"Sep 21, 2017",Remarks by President Trump and President Erdoğan of Turkey Before Bilateral Meeting,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-president-erdogan-turkey-bilateral-meeting/,Thursday
LAND & AGRICULTURE,"Sep 20, 2017",President Donald J. Trump Approves Seminole Tribe of Florida Emergency Declaration,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-approves-seminole-tribe-florida-emergency-declaration/,Wednesday
FOREIGN POLICY,"Sep 20, 2017",Praise for President Donald J. Trump’s Address to the UN General Assembly,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/praise-president-donald-j-trumps-address-un-general-assembly/,Wednesday
not found,"Sep 20, 2017",The White House Announces the 2017-2018 Class of White House Fellows,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/white-house-announces-2017-2018-class-white-house-fellows/,Wednesday
not found,"Sep 20, 2017",Statement by Vice President Mike Pence on the Jewish High Holy Days,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-vice-president-mike-pence-jewish-high-holy-days/,Wednesday
FOREIGN POLICY,"Sep 20, 2017",Remarks by the Vice President to the UN Security Council,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-vice-president-un-security-council/,Wednesday
FOREIGN POLICY,"Sep 20, 2017",Remarks by President Trump at Working Lunch with African Leaders,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-working-lunch-african-leaders/,Wednesday
FOREIGN POLICY,"Sep 20, 2017",Remarks by President Trump and Prime Minister May of the United Kingdom Before Bilateral Meeting,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-prime-minister-may-united-kingdom-bilateral-meeting/,Wednesday
FOREIGN POLICY,"Sep 20, 2017",Remarks by President Trump and President Abbas of the Palestinian Authority Before Bilateral Meeting,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-president-abbas-palestinian-authority-bilateral-meeting/,Wednesday
FOREIGN POLICY,"Sep 20, 2017",Remarks by President Trump and His Majesty King Abdullah II of Jordan Before Bilateral Meeting,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-majesty-king-abdullah-ii-jordan-bilateral-meeting/,Wednesday
FOREIGN POLICY,"Sep 20, 2017",Readout of President Donald J. Trump’s Meeting with United Nations Secretary-General Antonio Guterres and Luncheon with World Leaders,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-president-donald-j-trumps-meeting-united-nations-secretary-general-antonio-guterres-luncheon-world-leaders/,Wednesday
FOREIGN POLICY,"Sep 20, 2017",Readout of President Donald J. Trump’s Meeting with President of the United Nations (UN) General Assembly Miroslav Lajcak,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-president-donald-j-trumps-meeting-president-united-nations-un-general-assembly-miroslav-lajcak/,Wednesday
FOREIGN POLICY,"Sep 20, 2017",Readout of President Donald J. Trump’s Meeting with His Majesty King Abdullah II of Jordan,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-president-donald-j-trumps-meeting-majesty-king-abdullah-ii-jordan/,Wednesday
FOREIGN POLICY,"Sep 20, 2017",Readout of President Donald J. Trump’s Meeting with Emir Tamim bin Hamad Al Thani of Qatar,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-president-donald-j-trumps-meeting-emir-tamim-bin-hamad-al-thani-qatar/,Wednesday
FOREIGN POLICY,"Sep 20, 2017",President Donald J. Trump at the United Nations General Assembly: Outlining an America First Foreign Policy,FACT SHEETS,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-united-nations-general-assembly-outlining-america-first-foreign-policy/,Wednesday
not found,"Sep 20, 2017",President Donald J. Trump to Award the Medal of Honor,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-award-medal-honor/,Wednesday
FOREIGN POLICY,"Sep 20, 2017","New York Post Editorial Board: “Tough, proud and honest: Trump at the UN”",NEWS CLIPS,https://www.whitehouse.gov/briefings-statements/new-york-post-editorial-board-tough-proud-honest-trump-un/,Wednesday
FOREIGN POLICY,"Sep 20, 2017",Readout of President Donald J. Trump’s Call with President Enrique Peña Nieto of Mexico,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-president-donald-j-trumps-call-president-enrique-pena-nieto-mexico-2/,Wednesday
not found,"Sep 19, 2017",Statement by President Donald J. Trump on the Jewish High Holy Days,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-president-donald-j-trump-jewish-high-holy-days/,Tuesday
FOREIGN POLICY,"Sep 19, 2017",Remarks by President Trump at Luncheon Hosted by the Secretary General of the United Nations,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-luncheon-hosted-secretary-general-united-nations/,Tuesday
FOREIGN POLICY,"Sep 19, 2017",Remarks by President Trump and Emir Tamim bin Hamad Al Thani Before Bilateral Meeting,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-emir-tamim-bin-hamad-al-thani-bilateral-meeting/,Tuesday
